VendorOrderID,VendorID,MaterialOrderID,VendorOrderDate,VendorOrderTotal,VendorOrderStatus
VO001,VEN001,MO001,2024-01-10,1250.00,Completed
VO002,VEN003,MO003,2024-01-12,660.00,Pending
VO003,VEN005,MO005,2024-01-14,239.60,Completed
VO004,VEN001,MO007,2024-01-16,532.50,Pending
VO005,VEN003,MO009,2024-01-18,507.50,Completed
VO006,VEN005,MO011,2024-01-20,135.00,Pending
VO007,VEN001,MO013,2024-01-22,675.00,Completed
VO008,VEN003,MO015,2024-01-24,1011.50,Pending
VO009,VEN005,MO017,2024-01-26,75.00,Completed
VO010,VEN001,MO019,2024-01-28,750.00,Pending
VO011,VEN003,MO021,2024-01-30,420.00,Completed
VO012,VEN005,MO023,2024-02-01,475.00,Pending
VO013,VEN001,MO025,2024-02-03,2000.00,Completed
VO014,VEN003,MO027,2024-02-05,1200.00,Pending
VO015,VEN005,MO029,2024-02-07,1650.00,Completed
VO016,VEN001,MO031,2024-02-09,900.00,Pending
VO017,VEN003,MO033,2024-02-11,1250.00,Completed
VO018,VEN005,MO035,2024-02-13,325.00,Pending
VO019,VEN001,MO037,2024-02-15,1155.00,Completed
VO020,VEN003,MO039,2024-02-17,534.00,Pending
VO021,VEN005,MO041,2024-02-19,1120.00,Completed
VO022,VEN001,MO043,2024-02-21,787.50,Pending
VO023,VEN003,MO045,2024-02-23,900.00,Completed
VO024,VEN005,MO047,2024-02-25,3300.00,Pending
VO025,VEN001,MO049,2024-02-27,390.00,Completed
VO026,VEN002,MO002,2024-01-11,437.50,Completed
VO027,VEN004,MO004,2024-01-13,372.00,Pending
VO028,VEN002,MO006,2024-01-15,364.00,Completed
VO029,VEN004,MO008,2024-01-17,720.00,Pending
VO030,VEN002,MO010,2024-01-19,711.00,Completed
VO031,VEN004,MO012,2024-01-21,500.00,Pending
VO032,VEN002,MO014,2024-01-23,280.00,Completed
VO033,VEN004,MO016,2024-01-25,606.00,Pending
VO034,VEN002,MO018,2024-01-27,900.00,Completed
VO035,VEN004,MO020,2024-01-29,196.00,Pending
VO036,VEN002,MO022,2024-01-31,900.00,Completed
VO037,VEN004,MO024,2024-02-02,750.00,Pending
VO038,VEN002,MO026,2024-02-04,1000.00,Completed
VO039,VEN004,MO028,2024-02-06,1000.00,Pending
VO040,VEN002,MO030,2024-02-08,1000.00,Completed
VO041,VEN004,MO032,2024-02-10,72.00,Pending
VO042,VEN002,MO034,2024-02-12,312.00,Completed
VO043,VEN004,MO036,2024-02-14,1520.00,Pending
VO044,VEN002,MO038,2024-02-16,390.00,Completed
VO045,VEN004,MO040,2024-02-18,420.00,Pending
VO046,VEN002,MO042,2024-02-20,420.00,Completed
VO047,VEN004,MO044,2024-02-22,950.00,Pending
VO048,VEN002,MO046,2024-02-24,1500.00,Completed
VO049,VEN004,MO048,2024-02-26,1300.00,Pending
VO050,VEN002,MO050,2024-02-28,210.00,Completed